user,time,,checkin_checkout,,
6,2/17/2022 20:06,1,1,1,0
200,2/17/2022 20:21,1,1,1,0
1,2/17/2022 20:26,1,1,1,0
20,2/17/2022 20:34,1,1,1,0
18,2/17/2022 20:34,1,1,1,0
9,2/17/2022 20:34,1,1,1,0
4,2/17/2022 20:47,1,1,1,0
11,2/17/2022 20:48,1,1,1,0
3,2/17/2022 21:03,1,1,1,0
12,2/17/2022 21:11,1,1,1,0
10,2/17/2022 21:18,1,1,1,0
8,2/18/2022 2:05,1,1,1,0
3,2/18/2022 10:31,1,1,1,0
10,2/18/2022 10:31,1,1,1,0
8,2/18/2022 11:00,1,0,1,0
6,2/18/2022 11:40,1,0,1,0
13,2/18/2022 12:07,1,0,1,0
11,2/18/2022 12:26,1,0,1,0
17,2/18/2022 12:32,1,0,1,0
12,2/18/2022 12:32,1,0,1,0
18,2/18/2022 12:52,1,0,1,0
20,2/18/2022 12:52,1,0,1,0
200,2/18/2022 12:55,1,0,1,0
9,2/18/2022 12:55,1,0,1,0
1,2/18/2022 13:31,1,0,1,0
4,2/18/2022 13:31,1,0,1,0
29,2/18/2022 17:14,1,0,1,0
9,2/18/2022 19:29,1,0,1,0
29,2/18/2022 19:55,1,1,1,0
13,2/18/2022 19:58,1,1,1,0
4,2/18/2022 20:14,1,1,1,0
1,2/18/2022 20:15,1,1,1,0
10,2/18/2022 20:16,1,1,1,0
3,2/18/2022 20:16,1,1,1,0
12,2/18/2022 20:16,1,1,1,0
17,2/18/2022 20:17,1,1,1,0
6,2/18/2022 20:17,1,1,1,0
11,2/18/2022 20:17,1,1,1,0
200,2/18/2022 20:21,1,1,1,0
18,2/18/2022 20:21,1,1,1,0
20,2/18/2022 20:21,1,1,1,0
8,2/19/2022 3:28,1,1,1,0
13,2/19/2022 11:50,1,0,1,0
9,2/19/2022 12:03,1,0,1,0
8,2/19/2022 12:09,1,0,1,0
18,2/19/2022 12:19,1,0,1,0
20,2/19/2022 12:19,1,0,1,0
11,2/19/2022 12:35,1,0,1,0
3,2/19/2022 12:37,1,0,1,0
17,2/19/2022 12:38,1,0,1,0
10,2/19/2022 13:08,1,0,1,0
12,2/19/2022 13:22,1,0,1,0
6,2/19/2022 13:43,1,0,1,0
1,2/19/2022 14:26,1,0,1,0
4,2/19/2022 14:26,1,0,1,0
200,2/19/2022 16:53,1,0,1,0
3,2/19/2022 20:22,1,1,1,0
3,2/19/2022 20:30,1,0,1,0
